Número trámite	Trámite (instalación - baja - reclamo)	Fecha	Hora	Servicio (tel - int - tv)  	Número Cliente
230	baja	23/10/2024	16:08	Error	1349
231	instalacion	23/10/2024	16:10	Error	6783
232	reclamo	23/10/2024	16:12	tel	5390
233	reclamo	23/10/2024	16:14	tv	6967
234	instalacion	23/10/2024	16:16	Error	5147
235	instalacion	23/10/2024	16:18	Error	9468
236	baja	23/10/2024	16:20	Error	5734
237	reclamo	23/10/2024	16:22	Error	8437
238	baja	23/10/2024	16:24	tel	8269
239	reclamo	23/10/2024	16:26	tv	6685
240	instalacion	23/10/2024	16:28	tel	8993
241	reclamo	23/10/2024	16:30	Error	9674
242	baja	23/10/2024	16:32	Error	5742
243	baja	23/10/2024	16:34	tv	9780
244	reclamo	23/10/2024	16:36	int	2067
245	reclamo	23/10/2024	16:38	tv	5899
246	reclamo	23/10/2024	16:40	Error	3931
247	baja	23/10/2024	16:42	tv	6009
248	baja	23/10/2024	16:44	tel	9068
249	reclamo	23/10/2024	16:46	tel	4548
250	reclamo	23/10/2024	16:48	tel	9595
251	instalacion	23/10/2024	16:50	tel	1053
252	baja	23/10/2024	16:52	tv	6198
253	instalacion	23/10/2024	16:54	Error	5517
254	instalacion	23/10/2024	16:56	int	1306
255	reclamo	23/10/2024	16:58	tv	1293
256	baja	23/10/2024	17:00	tv	9333
257	baja	23/10/2024	17:02	int	7842
258	reclamo	23/10/2024	17:04	tv	9690
259	baja	23/10/2024	17:06	tel	1449
260	instalacion	23/10/2024	17:08	int	9282
261	reclamo	23/10/2024	17:10	tel	8435
262	baja	23/10/2024	17:12	int	4435
263	baja	23/10/2024	17:14	tv	1961
264	reclamo	23/10/2024	17:16	tv	5721
265	baja	23/10/2024	17:18	tel	4842
266	baja	23/10/2024	17:20	tv	1819
267	reclamo	23/10/2024	17:22	tv	3231
268	reclamo	23/10/2024	17:24	tv	3145
269	instalacion	23/10/2024	17:26	int	8079
270	baja	23/10/2024	17:28	int	2395
271	baja	23/10/2024	17:30	Error	8429
272	instalacion	23/10/2024	17:32	Error	1235
273	instalacion	23/10/2024	17:34	int	5606
274	instalacion	23/10/2024	17:36	tel	8365
275	baja	23/10/2024	17:38	tv	6892
276	baja	23/10/2024	17:40	int	5293
277	baja	23/10/2024	17:42	tv	2707
278	instalacion	23/10/2024	17:44	Error	2437
279	reclamo	23/10/2024	17:46	tv	7063
280	instalacion	23/10/2024	17:48	tel	4366
281	instalacion	23/10/2024	17:50	tel	3447
282	instalacion	23/10/2024	17:52	tel	2419
283	reclamo	23/10/2024	17:54	tv	3873
284	reclamo	23/10/2024	17:56	Error	2301
285	baja	23/10/2024	17:58	Error	5906
286	instalacion	23/10/2024	18:00	int	5080
287	reclamo	23/10/2024	18:02	tv	9533
288	instalacion	23/10/2024	18:04	int	3521
289	instalacion	23/10/2024	18:06	int	4057
290	reclamo	23/10/2024	18:08	tv	3560
291	reclamo	23/10/2024	18:10	int	4275
292	baja	23/10/2024	18:12	int	7840
293	baja	23/10/2024	18:14	tel	9921
294	instalacion	23/10/2024	18:16	tel	7191
295	instalacion	23/10/2024	18:18	Error	7810
296	instalacion	23/10/2024	18:20	tv	1689
297	reclamo	23/10/2024	18:22	int	4339
298	baja	23/10/2024	18:24	tv	2622
299	reclamo	23/10/2024	18:26	int	8015
300	baja	23/10/2024	18:28	Error	4572
301	reclamo	23/10/2024	18:30	tv	8337
302	baja	23/10/2024	18:32	int	5754
303	reclamo	23/10/2024	18:34	tel	6201
304	instalacion	23/10/2024	18:36	tv	8514
305	reclamo	23/10/2024	18:38	int	3403
306	baja	23/10/2024	18:40	int	1134
307	baja	23/10/2024	18:42	int	6466
308	reclamo	23/10/2024	18:44	int	5471
309	instalacion	23/10/2024	18:46	Error	4641
310	reclamo	23/10/2024	18:48	int	4399
311	instalacion	23/10/2024	18:50	Error	1769
312	instalacion	23/10/2024	18:52	int	7019
313	instalacion	23/10/2024	18:54	tel	3454
314	instalacion	23/10/2024	18:56	Error	7145
315	reclamo	23/10/2024	18:58	tv	4372
316	instalacion	23/10/2024	19:00	tel	3879
317	baja	23/10/2024	19:02	tel	6400
318	baja	23/10/2024	19:04	tv	9270
319	baja	23/10/2024	19:06	tv	6274
320	baja	23/10/2024	19:08	tv	9777
321	instalacion	23/10/2024	19:10	tv	7650
322	reclamo	23/10/2024	19:12	tv	9718
323	reclamo	23/10/2024	19:14	tv	2246
324	baja	23/10/2024	19:16	int	3453
325	baja	23/10/2024	19:18	tv	5204
326	instalacion	23/10/2024	19:20	Error	5755
327	instalacion	23/10/2024	19:22	Error	8779
328	reclamo	23/10/2024	19:24	tv	6715
329	instalacion	23/10/2024	19:26	tv	5588
330	baja	23/10/2024	19:28	tv	4447
331	instalacion	23/10/2024	19:30	Error	6786
332	reclamo	23/10/2024	19:32	Error	8456
333	reclamo	23/10/2024	19:34	tv	5521
334	reclamo	23/10/2024	19:36	tel	7971
335	baja	23/10/2024	19:38	Error	3450
336	reclamo	23/10/2024	19:40	tel	6612
337	instalacion	23/10/2024	19:42	tv	3051
338	reclamo	23/10/2024	19:44	Error	2761
339	instalacion	23/10/2024	19:46	tel	8000
340	instalacion	23/10/2024	19:48	tv	6351
341	reclamo	23/10/2024	19:50	tel	1817
342	baja	23/10/2024	19:52	Error	4899
343	reclamo	23/10/2024	19:54	Error	4756
344	reclamo	23/10/2024	19:56	int	7773
345	reclamo	23/10/2024	19:58	Error	8194
346	reclamo	23/10/2024	20:00	tv	3193
347	reclamo	23/10/2024	20:02	tv	8315
348	instalacion	23/10/2024	20:04	tel	2628
349	baja	23/10/2024	20:06	Error	2497
350	reclamo	23/10/2024	20:08	int	1052
351	reclamo	23/10/2024	20:10	int	4996
352	instalacion	23/10/2024	20:12	tel	6534
353	baja	23/10/2024	20:14	int	6982
354	baja	23/10/2024	20:16	Error	5499
355	baja	23/10/2024	20:18	tel	3186
356	instalacion	23/10/2024	20:20	tel	8731
357	instalacion	23/10/2024	20:22	int	4063
358	reclamo	23/10/2024	20:24	int	1588
359	instalacion	23/10/2024	20:26	int	6175
360	reclamo	23/10/2024	20:28	int	7530
361	reclamo	23/10/2024	20:30	int	1895
362	reclamo	23/10/2024	20:32	Error	3030
363	reclamo	23/10/2024	20:34	Error	4171
364	baja	23/10/2024	20:36	tv	3469
365	reclamo	23/10/2024	20:38	tv	4736
366	baja	23/10/2024	20:40	int	5432
367	baja	23/10/2024	20:42	tv	4155
368	baja	23/10/2024	20:44	tel	3294
369	baja	23/10/2024	20:46	Error	2073
370	instalacion	23/10/2024	20:48	int	5487
371	reclamo	23/10/2024	20:50	tel	7725
372	baja	23/10/2024	20:52	int	8106
373	baja	23/10/2024	20:54	tel	9760
374	reclamo	23/10/2024	20:56	Error	1415
375	reclamo	23/10/2024	20:58	Error	5622
376	baja	23/10/2024	21:00	Error	8652
377	baja	23/10/2024	21:02	tel	2088
378	instalacion	23/10/2024	21:04	int	8303
379	baja	23/10/2024	21:06	Error	1633
380	instalacion	23/10/2024	21:08	int	3761
381	baja	23/10/2024	21:10	tel	7546
382	reclamo	23/10/2024	21:12	tv	1146
383	baja	23/10/2024	21:14	Error	3927
384	baja	23/10/2024	21:16	tv	9732
385	reclamo	23/10/2024	21:18	int	9831
386	baja	23/10/2024	21:20	tv	6313
387	instalacion	23/10/2024	21:22	tv	1029
388	baja	23/10/2024	21:24	tel	8143
389	baja	23/10/2024	21:26	Error	6919
390	reclamo	23/10/2024	21:28	int	5727
391	instalacion	23/10/2024	21:30	int	4238
392	reclamo	23/10/2024	21:32	Error	1637
393	instalacion	23/10/2024	21:34	Error	9166
394	reclamo	23/10/2024	21:36	Error	4040
395	baja	23/10/2024	21:38	tel	5191
396	instalacion	23/10/2024	21:40	tel	6202
397	instalacion	23/10/2024	21:42	Error	5899
398	baja	23/10/2024	21:44	tv	2143
399	baja	23/10/2024	21:46	Error	3145
400	reclamo	23/10/2024	21:48	tv	4890
